########################
### CATTUPLES ##########
########################


#######################################################################################################################################
# sample              Effective lumi    Path ##########################################################################################
#######################################################################################################################################
SingleMuon                B        /data2/DATA/cattoflat/Data/v8-0-3/SingleMuon/periodB/
SingleMuon                C        /data2/DATA/cattoflat/Data/v8-0-3/SingleMuon/periodC/
SingleMuon                D        /data2/DATA/cattoflat/Data/v8-0-3/SingleMuon/periodD/
SingleMuon                E        /data2/DATA/cattoflat/Data/v8-0-3/SingleMuon/periodE/
SingleMuon                F        /data2/DATA/cattoflat/Data/v8-0-3/SingleMuon/periodF/
SingleMuon                G        /data2/DATA/cattoflat/Data/v8-0-3/SingleMuon/periodG/
SingleMuon                H_v2        /data2/DATA/cattoflat/Data/v8-0-3/SingleMuon/periodH_v2/
SingleMuon                H_v3        /data2/DATA/cattoflat/Data/v8-0-3/SingleMuon/periodH_v3/
SingleElectron            B        /data2/DATA/cattoflat/Data/v8-0-3/SingleElectron/periodB/
SingleElectron            C        /data2/DATA/cattoflat/Data/v8-0-3/SingleElectron/periodC/
SingleElectron            D        /data2/DATA/cattoflat/Data/v8-0-3/SingleElectron/periodD/
SingleElectron            E        /data2/DATA/cattoflat/Data/v8-0-3/SingleElectron/periodE/
SingleElectron            F        /data2/DATA/cattoflat/Data/v8-0-3/SingleElectron/periodF/
SingleElectron            G        /data2/DATA/cattoflat/Data/v8-0-3/SingleElectron/periodG/
SingleElectron            H_v2        /data2/DATA/cattoflat/Data/v8-0-3/SingleElectron/periodH_v2/
SingleElectron            H_v3        /data2/DATA/cattoflat/Data/v8-0-3/SingleElectron/periodH_v3/
DoubleMuon                B        /data2/DATA/cattoflat/Data/v8-0-3/DoubleMuon/periodB/
DoubleMuon                C        /data2/DATA/cattoflat/Data/v8-0-3/DoubleMuon/periodC/
DoubleMuon                D        /data2/DATA/cattoflat/Data/v8-0-3/DoubleMuon/periodD/
DoubleMuon                E        /data2/DATA/cattoflat/Data/v8-0-3/DoubleMuon/periodE/
DoubleMuon                F        /data2/DATA/cattoflat/Data/v8-0-3/DoubleMuon/periodF/
DoubleMuon                G        /data2/DATA/cattoflat/Data/v8-0-3/DoubleMuon/periodG/
DoubleMuon                H_v2        /data2/DATA/cattoflat/Data/v8-0-3/DoubleMuon/periodH_v2/
DoubleMuon                H_v3        /data2/DATA/cattoflat/Data/v8-0-3/DoubleMuon/periodH_v3/
DoubleEG                  B        /data2/DATA/cattoflat/Data/v8-0-3/DoubleEG/periodB/
DoubleEG                  C        /data2/DATA/cattoflat/Data/v8-0-3/DoubleEG/periodC/
DoubleEG                  D        /data2/DATA/cattoflat/Data/v8-0-3/DoubleEG/periodD/
DoubleEG                  E        /data2/DATA/cattoflat/Data/v8-0-3/DoubleEG/periodE/
DoubleEG                  F        /data2/DATA/cattoflat/Data/v8-0-3/DoubleEG/periodF/
DoubleEG                  G        /data2/DATA/cattoflat/Data/v8-0-3/DoubleEG/periodG/
DoubleEG                  H_v2        /data2/DATA/cattoflat/Data/v8-0-3/DoubleEG/periodH_v2/
DoubleEG                  H_v3        /data2/DATA/cattoflat/Data/v8-0-3/DoubleEG/periodH_v3/
MuonEG                    B        /data2/DATA/cattoflat/Data/v8-0-3/MuonEG/periodB/
MuonEG                    C        /data2/DATA/cattoflat/Data/v8-0-3/MuonEG/periodC/
MuonEG                    D        /data2/DATA/cattoflat/Data/v8-0-3/MuonEG/periodD/
MuonEG                    E        /data2/DATA/cattoflat/Data/v8-0-3/MuonEG/periodE/
MuonEG                    F        /data2/DATA/cattoflat/Data/v8-0-3/MuonEG/periodF/
MuonEG                    G        /data2/DATA/cattoflat/Data/v8-0-3/MuonEG/periodG/
MuonEG                    H_v2        /data2/DATA/cattoflat/Data/v8-0-3/MuonEG/periodH_v2/
MuonEG                    H_v3        /data2/DATA/cattoflat/Data/v8-0-3/MuonEG/periodH_v3/
SinglePhoton              B        /data2/DATA/cattoflat/Data/v8-0-3/SinglePhoton/periodB/
SinglePhoton              C        /data2/DATA/cattoflat/Data/v8-0-3/SinglePhoton/periodC/
SinglePhoton              D        /data2/DATA/cattoflat/Data/v8-0-3/SinglePhoton/periodD/
SinglePhoton              E        /data2/DATA/cattoflat/Data/v8-0-3/SinglePhoton/periodE/
SinglePhoton              F        /data2/DATA/cattoflat/Data/v8-0-3/SinglePhoton/periodF/
SinglePhoton              G        /data2/DATA/cattoflat/Data/v8-0-3/SinglePhoton/periodG/
SinglePhoton              H_v2        /data2/DATA/cattoflat/Data/v8-0-3/SinglePhoton/periodH_v2/
SinglePhoton              H_v3        /data2/DATA/cattoflat/Data/v8-0-3/SinglePhoton/periodH_v3/

#### Single lepton skims: SKTrees

SKSingleMuon                B        /data2/CatNtuples/v8-0-3/SKTrees/Data/SingleMuon/periodB/
SKSingleMuon                C        /data2/CatNtuples/v8-0-3/SKTrees/Data/SingleMuon/periodC/
SKSingleMuon                D        /data2/CatNtuples/v8-0-3/SKTrees/Data/SingleMuon/periodD/
SKSingleMuon                E        /data2/CatNtuples/v8-0-3/SKTrees/Data/SingleMuon/periodE/
SKSingleMuon                F        /data2/CatNtuples/v8-0-3/SKTrees/Data/SingleMuon/periodF/
SKSingleMuon                G        /data2/CatNtuples/v8-0-3/SKTrees/Data/SingleMuon/periodG/
SKSingleMuon                H_v2        /data2/CatNtuples/v8-0-3/SKTrees/Data/SingleMuon/periodH_v2/
SKSingleMuon                H_v3        /data2/CatNtuples/v8-0-3/SKTrees/Data/SingleMuon/periodH_v3/
SKSingleElectron            B        /data2/CatNtuples/v8-0-3/SKTrees/Data/SingleElectron/periodB/
SKSingleElectron            C        /data2/CatNtuples/v8-0-3/SKTrees/Data/SingleElectron/periodC/
